"","studygroup","pellgrant","science","socsci","specificity","constructiveness","positivity","whitestudent","female","relgrade","femalefaculty","facultygrades","yrs_experience","class_size","student_num"
"138",2,0,0,1,4.33333349227905,2.66666674613953,4.33333349227905,1,0,0.89991819858551,0,0.91345202922821,3,4,534
"139",3,0,0,1,1,1.66666662693024,5,0,0,0.904109597206116,0,0.91345202922821,3,4,635
"140",1,0,0,1,1.66666662693024,1.66666662693024,2.33333325386047,1,1,0.875912427902222,0,0.91345202922821,3,4,639
"141",2,0,0,1,3.33333325386047,3.33333325386047,4.66666650772095,0,0,0.84375,0,0.91345202922821,3,4,633
"142",2,0,0,1,3.66666674613953,2.66666674613953,5,1,0,1,0,0.91345202922821,3,3,666
"143",3,0,0,1,3.33333325386047,3.66666674613953,3,1,1,0.897959172725677,0,0.91345202922821,3,4,787
"144",3,1,0,1,3.33333325386047,2.66666674613953,4.33333349227905,0,1,0.879999995231628,0,0.91345202922821,3,4,579
"145",1,0,0,1,3.66666674613953,3.66666674613953,3,0,1,0.980132460594177,0,0.91345202922821,3,3,405
"146",2,0,0,1,2,2,4.33333349227905,1,0,0.645161271095276,0,0.91345202922821,3,4,2
"147",1,0,0,1,4.33333349227905,4.33333349227905,3.66666674613953,1,1,0.766666650772095,0,0.91345202922821,3,3,516
"148",2,0,0,1,3.33333325386047,2.66666674613953,5,0,1,0.89552241563797,0,0.91345202922821,3,4,798
"149",3,0,0,1,2,2,4,1,0,0.980132460594177,0,0.91345202922821,3,4,152
"150",1,0,0,1,4.33333349227905,3,2,1,0,0.749906241893768,0,0.91345202922821,3,3,823
"151",1,0,0,1,4.33333349227905,3.33333325386047,3.33333325386047,1,0,0.882352948188782,0,0.91345202922821,3,4,647
"152",2,0,0,1,3,3,4,1,0,0.904109597206116,0,0.91345202922821,3,4,592
"153",2,0,0,1,3.33333325386047,3.33333325386047,3,1,0,0.961038947105408,0,0.91345202922821,3,3,85
"154",1,1,0,1,1.66666662693024,1.66666662693024,3,0,0,0.830769240856171,0,0.91345202922821,3,4,763
"155",3,0,0,1,3,3,2.66666674613953,0,0,0.879999995231628,0,0.91345202922821,3,4,788
"156",2,0,0,1,2.66666674613953,3,4,1,0,1.01910829544067,0,0.91345202922821,3,4,1422
"157",2,0,0,1,4.33333349227905,2.66666674613953,5,1,1,0.949640274047852,0,0.91345202922821,3,4,1050
"158",1,0,0,1,4.66666650772095,3.33333325386047,5,1,1,0.935109078884125,0,0.91345202922821,3,4,643
"159",2,0,0,1,2,2,5,0,1,0.968586385250092,0,0.91345202922821,3,4,522
"160",2,0,0,1,1.66666662693024,2,5,1,0,0.942675173282623,0,0.91345202922821,3,4,375
"161",1,0,0,1,4.66666650772095,3.66666674613953,4,1,1,0.963503658771515,0,0.91345202922821,3,4,791
"162",3,0,0,1,2.33333325386047,2.33333325386047,5,1,1,0.980132460594177,0,0.91345202922821,3,3,23
"163",3,0,0,1,4.33333349227905,3.33333325386047,2,1,0,0.904109597206116,0,0.91345202922821,3,4,535
"164",1,1,0,1,3,2.66666674613953,3.33333325386047,0,1,0.923076927661896,0,0.91345202922821,3,4,541
"165",2,0,0,1,3.66666674613953,3.33333325386047,1.66666662693024,1,1,0.724409461021423,0,0.91345202922821,3,3,607
"166",1,0,0,1,4.33333349227905,3,3.66666674613953,1,1,0.923076927661896,0,0.91345202922821,3,4,636
"167",3,0,0,1,3.33333325386047,2.66666674613953,5,1,1,1.01538455486298,0,0.91345202922821,3,3,476
"168",3,0,0,1,4.33333349227905,3.66666674613953,3.66666674613953,1,0,0.961038947105408,0,0.91345202922821,3,4,170
"169",1,0,0,1,2.33333325386047,2.33333325386047,5,1,1,0.879999995231628,0,0.91345202922821,3,3,697
"170",2,0,0,1,4.66666650772095,4,2.66666674613953,1,0,0.986666679382324,0,0.91345202922821,3,3,1396
"171",1,0,0,1,3,4,3,1,1,0.850393712520599,0,0.91345202922821,3,3,694
"172",1,0,0,1,5,4,3.33333325386047,0,1,0.923076927661896,0,0.91345202922821,3,3,67
"173",2,0,0,1,4.33333349227905,3.33333325386047,1,0,1,0.775193810462952,0,0.91345202922821,3,3,675
"174",2,0,0,1,2.33333325386047,2,5,1,1,1.00680267810822,0,0.91345202922821,3,4,777
"175",1,0,0,1,3.66666674613953,4,3.33333325386047,0,1,0.980132460594177,0,0.91345202922821,3,3,223
"176",1,0,0,1,4,4.33333349227905,4,1,1,0.833333313465118,0,0.91345202922821,3,3,388
"177",2,0,0,1,2,2,5,1,0,0.788321197032928,0,0.91345202922821,3,4,704
"178",2,0,0,1,1.66666662693024,2,5,1,0,0.916030526161194,0,0.91345202922821,3,3,615
"179",2,0,0,1,2,3.33333325386047,4.33333349227905,1,0,0.980132460594177,0,0.91345202922821,3,3,377
"180",1,0,0,1,4,3,5,1,0,1,0,0.895523190498352,3,1,122
"181",3,1,0,1,1,1.66666662693024,5,0,0,0.724409461021423,0,0.895523190498352,3,3,763
"182",1,0,0,1,1.33333337306976,1.66666662693024,5,1,0,0.816326558589935,0,0.895523190498352,3,3,653
"183",2,1,0,1,2.66666674613953,2.33333325386047,3.66666674613953,0,0,0.875912427902222,0,0.895523190498352,3,3,831
"184",3,0,0,1,3,2.66666674613953,5,1,0,1,0,0.895523190498352,3,3,1422
"185",2,0,0,1,1.33333337306976,1,1.33333337306976,0,1,0.766666650772095,0,0.895523190498352,3,3,675
"186",3,0,0,1,3.66666674613953,3,3.66666674613953,1,0,0.77142858505249,0,0.895523190498352,3,3,673
"187",3,0,0,1,3,2.33333325386047,5,1,0,1,0,0.895523190498352,3,1,429
"188",2,0,0,1,3.66666674613953,2.66666674613953,4,0,0,1.01910829544067,0,0.895523190498352,3,3,786
"189",2,0,0,1,2.66666674613953,2.33333325386047,4.33333349227905,1,0,0.970588207244873,0,0.895523190498352,3,3,721
"190",1,1,0,1,3.66666674613953,3,5,0,0,0.846740067005157,0,0.895523190498352,3,3,1052
"191",3,1,0,1,3.33333325386047,3.33333325386047,4,0,1,0.816326558589935,0,0.895523190498352,3,3,857
"192",1,0,0,1,3,2.33333325386047,4.33333349227905,1,1,0.89552241563797,0,0.895523190498352,3,1,685
"193",3,0,0,1,3.66666674613953,3.66666674613953,4.66666650772095,1,1,0.961038947105408,0,0.895523190498352,3,1,582
"194",1,0,0,1,3,2.33333325386047,5,1,1,1.03896105289459,0,0.895523190498352,3,3,380
"195",3,0,0,1,3.66666674613953,3.66666674613953,3.33333325386047,1,0,0.59649121761322,0,0.895523190498352,3,3,968
"196",2,0,0,1,2,2,5,0,0,1.02564108371735,0,0.895523190498352,3,1,9
"197",3,0,0,1,1,2,5,1,0,0.897959172725677,0,0.895523190498352,3,3,438
"198",3,0,0,1,3,4,4,1,0,0.788321197032928,0,0.895523190498352,3,3,776
"199",1,0,0,1,1.66666662693024,2.33333325386047,3,1,0,0.805970191955566,0,0.895523190498352,3,3,710
"200",2,0,0,1,3.66666674613953,2.66666674613953,5,1,1,0.992481172084808,0,0.895523190498352,3,3,476
"201",2,0,0,1,3.33333325386047,2.66666674613953,2.66666674613953,0,1,0.923076927661896,0,0.895523190498352,3,1,223
"202",2,1,0,1,1,1.66666662693024,5,0,0,0.691729307174683,0,0.895523190498352,3,3,540
"203",1,0,0,1,4.66666650772095,3.33333325386047,5,1,0,1,0,0.895523190498352,3,1,102
"204",2,0,0,1,2,2.33333325386047,5,0,1,1.10447764396667,0,0.895523190498352,3,1,893
"205",1,1,0,1,3,2,5,1,0,0.75,0,0.895523190498352,3,3,545
"206",1,0,0,1,3,2.66666674613953,5,1,0,1.01910829544067,0,0.895523190498352,3,1,666
"207",2,1,0,1,3.66666674613953,2.66666674613953,5,0,0,0.875912427902222,0,0.895523190498352,3,3,393
"208",3,0,0,1,3.33333325386047,3.66666674613953,4,1,0,0.661157011985779,0,0.895523190498352,3,1,615
"209",1,0,0,1,3,2.66666674613953,5,1,0,1.01910829544067,0,0.895523190498352,3,3,170
"210",2,0,0,1,2.66666674613953,2.33333325386047,3,0,1,1.01226997375488,0,0.895523190498352,3,3,600
"211",2,0,0,1,3.33333325386047,2.66666674613953,4.33333349227905,1,1,0.942675173282623,0,0.895523190498352,3,1,658
"212",1,0,0,1,2.66666674613953,2,5,0,0,0.942857146263123,0,0.895523190498352,3,3,716
"213",1,0,0,0,4.66666650772095,3,4,1,1,1,1,1.07112312316895,3,3,644
"214",1,0,0,0,4.66666650772095,4.33333349227905,2.66666674613953,0,1,1.03896105289459,1,1.07112312316895,3,1,481
"215",3,0,0,0,2.33333325386047,2.33333325386047,3,1,0,1.04575169086456,1,1.07112312316895,3,3,500
"216",2,0,0,0,3.33333325386047,3,4,1,1,1.10447764396667,1,1.07112312316895,3,3,1087
"217",3,0,0,0,2.33333325386047,2.66666674613953,5,1,0,1.17647063732147,1,1.07112312316895,3,1,1192
"218",1,1,0,0,4.66666650772095,4.33333349227905,4,1,1,1,1,1.07112312316895,3,1,1368
"219",1,0,0,0,4.66666650772095,3.66666674613953,3.66666674613953,1,1,0.986666679382324,1,1.07112312316895,3,1,430
"220",1,0,0,0,4,3,4.66666650772095,1,0,1.01910829544067,1,1.07112312316895,3,3,735
"221",2,1,0,0,2.33333325386047,2.33333325386047,3,0,0,1.28654968738556,1,1.07112312316895,3,1,1104
"222",1,0,0,0,2,2.33333325386047,5,1,0,1.05714285373688,1,1.07112312316895,3,3,931
"223",2,0,0,0,2.66666674613953,2.33333325386047,5,0,0,1,1,1.07112312316895,3,3,1356
"224",2,0,0,0,2.33333325386047,2.33333325386047,5,1,0,1.1678831577301,1,1.07112312316895,3,3,1062
"225",2,0,0,0,3,2.33333325386047,5,0,0,1.21100914478302,1,1.07112312316895,3,3,494
"226",1,0,0,0,1.33333337306976,2,5,1,0,0.879999995231628,1,1.07112312316895,3,3,767
"227",3,0,0,0,3,2.66666674613953,5,1,0,1.03896105289459,1,1.07112312316895,3,3,718
"228",1,0,0,0,1,1.66666662693024,5,1,0,1.20325207710266,1,1.07112312316895,3,3,678
"229",2,1,0,0,2.66666674613953,2.33333325386047,5,1,0,1.06666672229767,1,1.07112312316895,3,1,1250
"230",3,0,0,0,2,2.33333325386047,5,0,1,1.25,1,1.07112312316895,3,1,1147
"231",1,0,0,0,1.33333337306976,2.33333325386047,5,1,1,0.851063847541809,1,1.07112312316895,3,3,790
"232",2,0,0,0,3.66666674613953,2,5,1,0,1.08029198646545,1,1.07112312316895,3,3,559
"233",3,0,0,0,2.66666674613953,2.33333325386047,5,0,1,0.980132460594177,1,1.07112312316895,3,3,981
"234",2,0,0,0,1.33333337306976,1.66666662693024,5,1,0,1.06666672229767,1,1.07112312316895,3,3,1009
"235",1,0,0,0,2.33333325386047,2.33333325386047,5,1,0,1.11888110637665,1,1.07112312316895,3,3,1412
"236",1,0,0,0,4.33333349227905,2.66666674613953,5,1,0,1.3199999332428,1,1.07112312316895,3,3,768
"237",2,0,0,0,4.33333349227905,3,1.66666662693024,0,0,0.992481172084808,1,1.07112312316895,3,1,1261
"238",2,0,0,0,4,2.66666674613953,5,1,1,1.01910829544067,1,1.07112312316895,3,1,1238
"239",3,0,0,0,1.66666662693024,2,4.66666650772095,0,0,0.958797633647919,1,1.07112312316895,3,3,474
"240",3,0,0,0,2,2.33333325386047,5,1,0,1.05714285373688,1,1.06023442745209,3,3,729
"241",1,1,0,0,5,4.33333349227905,3.33333325386047,0,1,1.00899922847748,1,1.06023442745209,3,3,188
"242",3,0,0,0,3.66666674613953,2.66666674613953,5,0,1,1.14285719394684,1,1.06023442745209,3,1,1022
"243",3,0,0,0,4.33333349227905,4,1.66666662693024,1,1,1.00680267810822,1,1.06023442745209,3,3,741
"244",2,0,0,0,3.33333325386047,2.66666674613953,5,1,1,1.16814160346985,1,1.06023442745209,3,1,562
"245",1,0,0,0,4,3.33333325386047,5,0,0,1.05263161659241,1,1.06023442745209,3,1,1359
"246",2,0,0,0,2.33333325386047,2.33333325386047,5,1,0,1,1,1.06023442745209,3,3,470
"247",3,0,0,0,3.33333325386047,2.33333325386047,5,1,1,1.01910829544067,1,1.06023442745209,3,1,717
"248",3,0,0,0,1,1.66666662693024,5,1,0,1.36752140522003,1,1.06023442745209,3,3,825
"249",1,0,0,0,2.66666674613953,2.33333325386047,5,1,0,1.08843541145325,1,1.06023442745209,3,3,1078
"250",2,0,0,0,2.66666674613953,2.33333325386047,5,1,0,1.10447764396667,1,1.06023442745209,3,3,789
"251",1,0,0,0,3.33333325386047,3,4.66666650772095,1,0,1.01910829544067,1,1.06023442745209,3,3,735
"252",3,0,0,0,3,2.33333325386047,5,1,1,1.08695650100708,1,1.06023442745209,3,3,351
